Plate	Well Number	Well	Plate_Well	Characteristics [Organism]	Term Source 1 REF	Term Source 1 Accession	Characteristics [Strain]	Gene Identifier	Gene Symbol	Gene Symbol Synonyms	Gene Description	GO Biological Process	GO Molecular Function	GO Cellular Component	GO Term	Reagent Design Gene Annotation Build	Analysis Gene Annotation Build	Batch	Control Type	Control Comments	Quality Control	Channels	Comments
P110	22	B10	P110_B10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR249C	ARO4		"3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase, catalyzes the first step in aromatic amino acid biosynthesis and is feedback-inhibited by tyrosine or high concentrations of phenylalanine or tryptophan"	"cellular amino acid and derivative metabolic process, cellular aromatic compound metabolic process"	transferase activity	"nucleus, cytoplasm"	"amino acid and derivative metabolic process, aromatic compound metabolic process, cytoplasm, nucleus, transferase activity"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	23	B11	P110_B11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR250W	SPO23		Protein of unknown function; associates with meiosis-specific protein Spo1p	"meiosis, cell cycle"	molecular_function	cellular_component	"cellular_component, meiosis, molecular_function"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	24	B12	P110_B12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR255W	MTC4		"Protein of unknown function, required for normal growth rate at 15 degrees C; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern; mtc4 is synthetically sick with cdc13-1"	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	25	C1	P110_C1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR258C	SHG1	CPS15	"Subunit of the COMPASS (Set1C) complex, which methylates histone H3 on lysine 4 and is required in transcriptional silencing near telomeres"	"chromosome organization, protein modification process"	transferase activity	nucleus	"nucleus, organelle organization and biogenesis, protein modification process, transferase activity"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	26	C2	P110_C2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR259W			Putative protein of unknown function; YBR259W is not an essential gene	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	27	C3	P110_C3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR260C	RGD1		"GTPase-activating protein (RhoGAP) for Rho3p and Rho4p, possibly involved in control of actin cytoskeleton organization"	"response to chemical stimulus, response to stress"	"lipid binding, enzyme regulator activity"	"cell cortex, cytoskeleton, cellular bud, site of polarized growth, cytoplasm"	"cell cortex, cellular bud, cytoplasm, cytoskeleton, enzyme regulator activity, response to chemical stimulus, response to stress, signal transduction"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	28	C4	P110_C4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR261C	TAE1	NTM1	AdoMet-dependent proline methyltransferase; catalyzes the dimethylation of ribosomal proteins Rpl12 and Rps25 at N-terminal proline residues; has a role in protein synthesis; fusion protein localizes to the cytoplasm	"translation, protein modification process"	transferase activity	cytoplasm	"biological_process, cytoplasm, transferase activity"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	29	C5	P110_C5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR262C	AIM5	FMP51	"Protein of unknown function; the authentic, non-tagged protein is detected in purified mitochondria in high-throughput studies; null mutant displays elevated frequency of mitochondrial genome loss"	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P110	30	C6	P110_C6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR263W	SHM1	TMP3;SHMT1	"Mitochondrial serine hydroxymethyltransferase, converts serine to glycine plus 5,10 methylenetetrahydrofolate; involved in generating precursors for purine, pyrimidine, amino acid, and lipid biosynthesis; reverse reaction generates serine"	cellular amino acid and derivative metabolic process	transferase activity	"mitochondrion, cytoplasm"	"amino acid and derivative metabolic process, mitochondrion, other, transferase activity"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	31	C7	P110_C7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR264C	YPT10		Rab family GTP-binding protein that contains the PEST signal sequence specific for proteolytic enzymes; may be involved in vesicular transport; overexpression leads to accumulation of Golgi-like cisternae with budding vesicles	other	hydrolase activity	cytoplasm	"cytoplasm, hydrolase activity, organelle organization and biogenesis, other"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	32	C8	P110_C8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR266C	SLM6		Protein with a potential role in actin cytoskeleton organization; gene exhibits synthetic genetic interaction with MSS4 encoding phosphatidylinositol 4-phosphate kinase	"transport, vesicle-mediated transport, cellular membrane organization"	molecular_function	cellular_component	"cellular_component, membrane organization and biogenesis, molecular_function, transport, vesicle-mediated transport"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P110	33	C9	P110_C9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YBR267W	REI1		"Cytoplasmic pre-60S factor; required for the correct recycling of shuttling factors Alb1, Arx1 and Tif6 at the end of the ribosomal large subunit biogenesis; involved in bud growth in the mitotic signaling network"	"transport, cell budding, ribosome biogenesis, cell cycle"	DNA binding	"ribosome, cytoplasm"	"cell budding, cell cycle, cytoplasm, molecular_function, organelle organization and biogenesis, ribosome, ribosome biogenesis, transport"			02_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	34	C10	P110_C10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR049W			Zinc finger protein; putative transcription factor that may interact with proteins involved in histone acetylation or deacetylation; may be involved in altering acetylation on histone lysines	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, cytoplasm, mitochondrion, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	35	C11	P110_C11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR051C	DET1		Acid phosphatase involved in the non-vesicular transport of sterols in both directions between the endoplasmic reticulum and plasma membrane; deletion confers sensitivity to nickel	transport	hydrolase activity	"nucleus, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	36	C12	P110_C12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR055W	PST1	HPF2	"Cell wall protein that contains a putative GPI-attachment site; secreted by regenerating protoplasts; up-regulated by activation of the cell integrity pathway, as mediated by Rlm1p; upregulated by cell wall damage via disruption of FKS1"	fungal-type cell wall organization	molecular_function	"cell wall, membrane, plasma membrane"	"cell wall, cell wall organization and biogenesis, molecular_function, plasma membrane, response to chemical stimulus"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	37	D1	P110_D1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR056C			Putative protein of unknown function; green fluorescent protein (GFP)-fusion protein localizes to the endoplasmic retiuculum; YDR056C is not an essential protein	biological_process	molecular_function	"membrane fraction, endoplasmic reticulum, cytoplasm"	"biological_process, endoplasmic reticulum, membrane fraction, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	38	D2	P110_D2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR057W	YOS9		"ER quality-control lectin; integral subunit of the HRD ligase; binds to glycans with terminal alpha-1,6 linked mannose on misfolded N-glycosylated proteins and participates in targeting proteins to ERAD; member of the OS-9 protein family"	cellular protein catabolic process	other	"membrane, endomembrane system, endoplasmic reticulum, cytoplasm"	"cytoplasm, endomembrane system, endoplasmic reticulum, membrane, other, protein catabolic process"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	39	D3	P110_D3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR059C	UBC5		"Ubiquitin-conjugating enzyme that mediates selective degradation of short-lived, abnormal, or excess proteins, including histone H3; central component of the cellular stress response; expression is heat inducible"	"response to stress, protein modification process"	ligase activity	other	"ligase activity, membrane organization and biogenesis, other, protein modification process, response to chemical stimulus, response to stress, sporulation, transport, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	40	D4	P110_D4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR061W			Protein with similarity to ATP-binding cassette (ABC) transporter family members; lacks predicted membrane-spanning regions; transcriptionally activated by Yrm1p along with genes involved in multidrug resistance	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	41	D5	P110_D5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR063W	AIM7	GMF1;GMF;Glia maturation factor	Protein that interacts with Arp2/3 complex to stimulate actin filament debranching and inhibit actin nucleation; has similarity to Cof1p and also to human glia maturation factor (GMF); null mutant displays elevated mitochondrial genome loss	"cytoskeleton organization, protein complex biogenesis"	molecular_function	"nucleus, cell cortex, cytoskeleton, cytoplasm"	"biological_process, cytoplasm, molecular_function, nucleus"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	42	D6	P110_D6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR065W	RRG1		"Protein of unknown function, required for vacuolar acidification and mitochondrial genome maintenance; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	"mitochondrion organization, cellular homeostasis"	molecular_function	"mitochondrion, cytoplasm"	"cellular homeostasis, mitochondrion, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	43	D7	P110_D7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR066C	RTR2		Protein of unknown function with high similarity to Rtr1p; exhibits genetic interactions with Rtr1p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm; YDR066C is not an essential gene	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	44	D8	P110_D8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR067C	OCA6		"Cytoplasmic protein required for replication of Brome mosaic virus in S. cerevisiae, which is a model system for studying positive-strand RNA virus replication; null mutation confers sensitivity to tunicamycin and DTT"	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	45	D9	P110_D9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR068W	DOS2		"Protein of unknown function, green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm"	biological_process	molecular_function	cytoplasm	"biological_process, cytoplasm, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	images not available
P110	46	D10	P110_D10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR069C	DOA4	UBP4;SSV7;NPI2;MUT4;DOS1	"Ubiquitin isopeptidase, required for recycling ubiquitin from proteasome-bound ubiquitinated intermediates, acts at the late endosome/prevacuolar compartment to recover ubiquitin from ubiquitinated membrane proteins en route to the vacuole"	"transport, protein modification process, vesicle-mediated transport, DNA metabolic process, cellular homeostasis, cellular protein catabolic process, cellular membrane organization"	"peptidase activity, hydrolase activity"	"membrane fraction, mitochondrion, cytoplasm"	"DNA metabolic process, cytoplasm, hydrolase activity, membrane fraction, membrane organization and biogenesis, mitochondrion, other, peptidase activity, protein catabolic process, protein modification process, transport, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	47	D11	P110_D11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR070C	FMP16		"Putative protein of unknown function; proposed to be involved in responding to conditions of stress; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies"	biological_process	molecular_function	"mitochondrion, cytoplasm"	"biological_process, mitochondrion, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	48	D12	P110_D12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR072C	IPT1	KTI6;SYR4	"Inositolphosphotransferase, involved in synthesis of mannose-(inositol-P)2-ceramide (M(IP)2C), the most abundant sphingolipid;, can mutate to resistance to the antifungals syringomycin E and DmAMP1 and to K. lactis zymocin"	cellular lipid metabolic process	transferase activity	membrane fraction	"lipid metabolic process, membrane fraction, transferase activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	49	E1	P110_E1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR073W	SNF11		Subunit of the SWI/SNF chromatin remodeling complex involved in transcriptional regulation; interacts with a highly conserved 40-residue sequence of Snf2p	chromosome organization	transcription regulator activity	nucleus	"nucleus, organelle organization and biogenesis, transcription regulator activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	50	E2	P110_E2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR075W	PPH3		Catalytic subunit of an evolutionarily conserved protein phosphatase complex containing Psy2p and the regulatory subunit Psy4p; required for cisplatin resistance; involved in activation of Gln3p	"response to chemical stimulus, protein modification process"	"phosphoprotein phosphatase activity, hydrolase activity"	"nucleus, cytoplasm"	"cytoplasm, hydrolase activity, nucleus, other, phosphoprotein phosphatase activity, protein modification process, response to chemical stimulus"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	51	E3	P110_E3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR076W	RAD55		Protein that stimulates strand exchange by stabilizing the binding of Rad51p to single-stranded DNA; involved in the recombinational repair of double-strand breaks in DNA during vegetative growth and meiosis; forms heterodimer with Rad57p	"response to stress, meiosis, cell cycle, DNA metabolic process"	"protein binding, hydrolase activity"	nucleus	"DNA metabolic process, cell cycle, hydrolase activity, meiosis, nucleus, protein binding, response to stress"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	52	E4	P110_E4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR078C	SHU2		"Protein involved in a Rad51p-, Rad54p-dependent pathway for homologous recombination repair, important for error-free repair of spontaneous and induced DNA lesions to protect the genome from mutation; associates with Shu1p, Psy3p, and Csm2p"	"response to stress, DNA metabolic process"	molecular_function	cellular_component	"DNA metabolic process, cellular_component, molecular_function, response to stress"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	53	E5	P110_E5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR079W	PET100		"Chaperone that specifically facilitates the assembly of cytochrome c oxidase, integral to the mitochondrial inner membrane; interacts with a subcomplex of subunits VII, VIIa, and VIII (Cox7p, Cox9p, and Cox8p) but not with the holoenzyme"	"mitochondrion organization, generation of precursor metabolites and energy, protein complex biogenesis, cellular respiration"	protein binding	"mitochondrion, membrane, mitochondrial envelope, cytoplasm"	"Golgi apparatus, cellular respiration, cytoplasm, endomembrane system, generation of precursor metabolites and energy, membrane, mitochondrial envelope, mitochondrion, organelle organization and biogenesis, protein binding"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	54	E6	P110_E6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR080W	VPS41	VPL20;VAM2;SVL2;FET2;CVT8	Vacuolar membrane protein that is a subunit of the homotypic vacuole fusion and vacuole protein sorting (HOPS) complex; essential for membrane docking and fusion at the Golgi-to-endosome and endosome-to-vacuole stages of protein transport	"vacuole organization, transport, vesicle organization, protein complex biogenesis, vesicle-mediated transport, cellular membrane organization"	"lipid binding, enzyme regulator activity"	"vacuole, membrane, cytoplasm"	"cytoplasm, enzyme regulator activity, membrane, membrane organization and biogenesis, organelle organization and biogenesis, protein modification process, transport, vacuole"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	55	E7	P110_E7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR083W	RRP8		"Nucleolar protein involved in rRNA processing, pre-rRNA cleavage at site A2; also involved in telomere maintenance; mutation is synthetically lethal with a gar1 mutation"	"ribosome biogenesis, RNA metabolic process"	transferase activity	"nucleus, nucleolus"	"RNA metabolic process, nucleolus, organelle organization and biogenesis, ribosome biogenesis, transferase activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	56	E8	P110_E8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR084C	TVP23		Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p; green fluorescent protein (GFP)-fusion protein localizes to the cytoplasm in a punctate pattern	"transport, vesicle-mediated transport"	molecular_function	"membrane, endomembrane system, cytoplasm, Golgi apparatus"	"Golgi apparatus, cytoplasm, endomembrane system, membrane, molecular_function, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	57	E9	P110_E9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR085C	AFR1		Protein required for pheromone-induced projection (shmoo) formation; regulates septin architecture during mating; has an RVXF motif that mediates targeting of Glc7p to mating projections; interacts with Cdc12p	"signaling process, conjugation, cellular component morphogenesis, response to chemical stimulus"	signal transducer activity	other	"anatomical structure morphogenesis, conjugation, other, response to chemical stimulus, signal transducer activity, signal transduction"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	58	E10	P110_E10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR089W			Protein of unknown function; deletion confers resistance to Nickel	cellular membrane organization	molecular_function	membrane	"membrane, membrane organization and biogenesis, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	59	E11	P110_E11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR090C			Putative protein of unknown function	biological_process	molecular_function	membrane	"biological_process, membrane, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	60	E12	P110_E12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR092W	UBC13		Ubiquitin-conjugating enzyme involved in the error-free DNA postreplication repair pathway; interacts with Mms2p to assemble ubiquitin chains at the Ub Lys-63 residue; DNA damage triggers redistribution from the cytoplasm to the nucleus	"response to stress, cellular homeostasis, DNA metabolic process, protein modification process, protein complex biogenesis"	ligase activity	"nucleus, cytoplasm"	"DNA metabolic process, cytoplasm, ligase activity, nucleus, other, protein modification process, response to stress"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	61	F1	P110_F1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR093W	DNF2		"Aminophospholipid translocase (flippase) that localizes primarily to the plasma membrane; contributes to endocytosis, protein transport and cell polarity; type 4 P-type ATPase"	"transport, vesicle-mediated transport, cellular membrane organization"	"hydrolase activity, transporter activity"	"membrane fraction, membrane, plasma membrane"	"anatomical structure morphogenesis, hydrolase activity, membrane fraction, membrane organization and biogenesis, plasma membrane, transport, transporter activity, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	62	F2	P110_F2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR094W			"Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps verified ORF DNF2"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	63	F3	P110_F3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR095C			"Dubious open reading frame unlikely to encode a functional protein, based on available experimental and comparative sequence data"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	64	F4	P110_F4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR096W	GIS1		JmjC domain-containing histone demethylase; transcription factor involved in expression of genes during nutrient limitation and in negative regulation of DPP1 and PHR1; activity is modulated by limited proteasome-mediated proteolysis	"transcription, protein modification process, sporulation resulting in formation of a cellular spore, cellular lipid metabolic process, chromosome organization, cellular component morphogenesis, RNA metabolic process"	"transcription regulator activity, oxidoreductase activity, DNA binding"	"nucleus, mitochondrion, cytoplasm"	"DNA binding, cell wall organization and biogenesis, lipid metabolic process, mitochondrion, nucleus, organelle organization and biogenesis, oxidoreductase activity, protein modification process, sporulation, transcription regulator activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	65	F5	P110_F5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR097C	MSH6	PMS3	"Protein required for mismatch repair in mitosis and meiosis, forms a complex with Msh2p to repair both single-base & insertion-deletion mispairs; potentially phosphorylated by Cdc28p"	"response to stress, meiosis, cell cycle, DNA metabolic process"	"DNA binding, hydrolase activity"	nucleus	"DNA binding, DNA metabolic process, cell cycle, hydrolase activity, meiosis, nucleus, other, response to stress"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	66	F6	P110_F6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR098C	GRX3		Hydroperoxide and superoxide-radical responsive glutathione-dependent oxidoreductase; monothiol glutaredoxin subfamily member along with Grx4p and Grx5p; protects cells from oxidative damage	"response to stress, cellular homeostasis, response to chemical stimulus"	oxidoreductase activity	"nucleus, cytoplasm"	"cellular homeostasis, cytoplasm, nucleus, oxidoreductase activity, response to chemical stimulus, response to stress"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	67	F7	P110_F7	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR099W	BMH2	SCD3	"14-3-3 protein, minor isoform; controls proteome at post-transcriptional level, binds proteins and DNA, involved in regulation of many processes including exocytosis, vesicle transport, Ras/MAPK signaling, and rapamycin-sensitive signaling"	"signaling process, generation of precursor metabolites and energy, protein modification process, response to stress, cellular carbohydrate metabolic process, sporulation resulting in formation of a cellular spore, pseudohyphal growth, cell cycle, DNA metabolic process"	DNA binding	"nucleus, membrane fraction"	"DNA binding, carbohydrate metabolic process, cell cycle, cell wall organization and biogenesis, generation of precursor metabolites and energy, nucleus, protein binding, pseudohyphal growth, response to stress, signal transduction, sporulation"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	68	F8	P110_F8	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR100W	TVP15		Integral membrane protein localized to late Golgi vesicles along with the v-SNARE Tlg2p	"transport, vesicle-mediated transport"	molecular_function	"membrane, cytoplasmic membrane-bounded vesicle, endomembrane system, cytoplasm, Golgi apparatus"	"Golgi apparatus, cytoplasm, cytoplasmic membrane-bounded vesicle, endomembrane system, membrane, molecular_function, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	69	F9	P110_F9	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR101C	ARX1		Shuttling pre-60S factor; involved in the biogenesis of ribosomal large subunit biogenesis; interacts directly with Alb1; responsible for Tif6 recycling defects in absence of Rei1; associated with the ribosomal export complex	ribosome biogenesis	molecular_function	"nucleus, ribosome, cytoplasm"	"cytoplasm, molecular_function, nucleus, organelle organization and biogenesis, ribosome, ribosome biogenesis"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	70	F10	P110_F10	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR102C			Dubious open reading frame; homozygous diploid deletion strain exhibits high budding index	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	71	F11	P110_F11	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR104C	SPO71		"Meiosis-specific protein of unknown function, required for spore wall formation during sporulation; dispensable for both nuclear divisions during meiosis"	"sporulation resulting in formation of a cellular spore, cellular component morphogenesis"	molecular_function	cell wall	"cell wall, cell wall organization and biogenesis, molecular_function, sporulation"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	72	F12	P110_F12	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR105C	TMS1		"Vacuolar membrane protein of unknown function that is conserved in mammals; predicted to contain eleven transmembrane helices; interacts with Pdr5p, a protein involved in multidrug resistance"	biological_process	molecular_function	"membrane, vacuole, cytoplasm"	"biological_process, cytoplasm, membrane, molecular_function, vacuole"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	73	G1	P110_G1	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR107C	TMN2		Protein with a role in cellular adhesion and filamentous growth; similar to Emp70p and Tmn3p; member of the evolutionarily conserved Transmembrane Nine family of proteins with nine membrane-spanning segments	"pseudohyphal growth, cellular homeostasis"	molecular_function	"membrane, vacuole, cytoplasm"	"membrane fraction, molecular_function, other, pseudohyphal growth"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	74	G2	P110_G2	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR108W	GSG1	MUM1;TRS85	"Subunit of TRAPP (transport protein particle), a multi-subunit complex involved in targeting and/or fusion of ER-to-Golgi transport vesicles with their acceptor compartment; protein has late meiotic role, following DNA replication"	"transport, vesicle organization, peroxisome organization, response to stress, meiosis, vesicle-mediated transport, cell cycle, cellular membrane organization"	molecular_function	"Golgi apparatus, cytoplasm"	"Golgi apparatus, cytoplasm, meiosis, membrane organization and biogenesis, molecular_function, organelle organization and biogenesis, other, transport, vesicle-mediated transport"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	75	G3	P110_G3	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR109C			Putative kinase	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, transferase activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	76	G4	P110_G4	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR110W	FOB1	HRM1	"Nucleolar protein that binds the rDNA replication fork barrier (RFB) site; required for replication fork blocking, recombinational hotspot activity, condensin recruitment to RFB and rDNA repeat segregation; related to retroviral integrases"	"transcription, chromosome segregation, chromosome organization, cell cycle, DNA metabolic process, RNA metabolic process"	DNA binding	"nucleus, nucleolus"	"DNA binding, DNA metabolic process, RNA metabolic process, nucleolus, organelle organization and biogenesis, other, transcription"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	77	G5	P110_G5	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR111C	ALT2		Putative alanine transaminase (glutamic pyruvic transaminase)	biological_process	transferase activity	"nucleus, cytoplasm"	"biological_process, cytoplasm, nucleus, transferase activity"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
P110	78	G6	P110_G6	Saccharomyces cerevisiae	NCBITaxon	NCBITaxon_4932	BY4742	YDR112W	IRC2		"Dubious open reading frame, unlikely to encode a protein, based on available experimental and comparative sequence data; partially overlaps YDR111C; null mutant displays increased levels of spontaneous Rad52p foci"	biological_process	molecular_function	cellular_component	"biological_process, cellular_component, molecular_function"			04_4				DIC:cell structure;YFP:Rad52-YFP protein	
